service_id,date,exception_type,exception_note,schedule_type
76360-1111111-0,20230129,1,Old Town to Airport Shuttle,ERRdow
72985-0000001-0,20230129,1,Coronado Ferry - Sun,SU
79335-0000001-0,20230129,1,FINAL,SU
79407-0000001-0,20230129,1,FINAL,SU
79779-0000001-0,20230129,1,PRODUCTION,SU
79793-0000001-0,20230129,1,Schedule #122,SU
76360-1111111-0,20230130,1,Old Town to Airport Shuttle,ERRdow
72987-1111100-0,20230130,1,Coronado Ferry - M-F with Events,WD
7298753-1111100-53,20230130,1,Coronado Ferry - M-F with Events Coronado Ferry Commuter,WD
79397-1111100-0,20230130,1,FINAL,WD
79337-1111100-0,20230130,1,FINAL,WD
79398-1111100-0,20230130,1,FINAL,WD
79409-1111100-0,20230130,1,FINAL,WD
7940929-1111100-29,20230130,1,FINAL San Ysidro High School,WD
7940951-1111100-51,20230130,1,FINAL San Ysidro HIgh School,WD
79332-1111100-0,20230130,1,FINAL,WD
79333-1111100-0,20230130,1,FINAL,WD
793337-1111100-7,20230130,1,FINAL Rural 888,WD
79777-1111100-0,20230130,1,PRODUCTION,WD
7977715-1111100-15,20230130,1,PRODUCTION SD Mesa College,WD
7977721-1111100-21,20230130,1,PRODUCTION UCSD,WD
79791-1111100-0,20230130,1,Schedule #122,WD
76360-1111111-0,20230131,1,Old Town to Airport Shuttle,ERRdow
72987-1111100-0,20230131,1,Coronado Ferry - M-F with Events,WD
7298753-1111100-53,20230131,1,Coronado Ferry - M-F with Events Coronado Ferry Commuter,WD
79397-1111100-0,20230131,1,FINAL,WD
79337-1111100-0,20230131,1,FINAL,WD
79398-1111100-0,20230131,1,FINAL,WD
79409-1111100-0,20230131,1,FINAL,WD
7940929-1111100-29,20230131,1,FINAL San Ysidro High School,WD
7940951-1111100-51,20230131,1,FINAL San Ysidro HIgh School,WD
79332-1111100-0,20230131,1,FINAL,WD
79333-1111100-0,20230131,1,FINAL,WD
79777-1111100-0,20230131,1,PRODUCTION,WD
7977715-1111100-15,20230131,1,PRODUCTION SD Mesa College,WD
7977721-1111100-21,20230131,1,PRODUCTION UCSD,WD
79791-1111100-0,20230131,1,Schedule #122,WD
76360-1111111-0,20230201,1,Old Town to Airport Shuttle,ERRdow
72987-1111100-0,20230201,1,Coronado Ferry - M-F with Events,WD
7298753-1111100-53,20230201,1,Coronado Ferry - M-F with Events Coronado Ferry Commuter,WD
79397-1111100-0,20230201,1,FINAL,WD
79337-1111100-0,20230201,1,FINAL,WD
79398-1111100-0,20230201,1,FINAL,WD
79409-1111100-0,20230201,1,FINAL,WD
7940929-1111100-29,20230201,1,FINAL San Ysidro High School,WD
7940951-1111100-51,20230201,1,FINAL San Ysidro HIgh School,WD
79332-1111100-0,20230201,1,FINAL,WD
79333-1111100-0,20230201,1,FINAL,WD
79777-1111100-0,20230201,1,PRODUCTION,WD
7977715-1111100-15,20230201,1,PRODUCTION SD Mesa College,WD
7977721-1111100-21,20230201,1,PRODUCTION UCSD,WD
79791-1111100-0,20230201,1,Schedule #122,WD
76360-1111111-0,20230202,1,Old Town to Airport Shuttle,ERRdow
72987-1111100-0,20230202,1,Coronado Ferry - M-F with Events,WD
7298753-1111100-53,20230202,1,Coronado Ferry - M-F with Events Coronado Ferry Commuter,WD
79397-1111100-0,20230202,1,FINAL,WD
79337-1111100-0,20230202,1,FINAL,WD
79398-1111100-0,20230202,1,FINAL,WD
79409-1111100-0,20230202,1,FINAL,WD
7940929-1111100-29,20230202,1,FINAL San Ysidro High School,WD
7940951-1111100-51,20230202,1,FINAL San Ysidro HIgh School,WD
79332-1111100-0,20230202,1,FINAL,WD
79333-1111100-0,20230202,1,FINAL,WD
7933311-1111100-11,20230202,1,FINAL Rural 892,WD
79777-1111100-0,20230202,1,PRODUCTION,WD
7977715-1111100-15,20230202,1,PRODUCTION SD Mesa College,WD
7977721-1111100-21,20230202,1,PRODUCTION UCSD,WD
79791-1111100-0,20230202,1,Schedule #122,WD
76360-1111111-0,20230203,1,Old Town to Airport Shuttle,ERRdow
72987-1111100-0,20230203,1,Coronado Ferry - M-F with Events,WD
7298753-1111100-53,20230203,1,Coronado Ferry - M-F with Events Coronado Ferry Commuter,WD
7298755-1111100-55,20230203,1,Coronado Ferry - M-F with Events Coronado Ferry "Friday Trips",WD
79397-1111100-0,20230203,1,FINAL,WD
79337-1111100-0,20230203,1,FINAL,WD
79398-1111100-0,20230203,1,FINAL,WD
79409-1111100-0,20230203,1,FINAL,WD
7940929-1111100-29,20230203,1,FINAL San Ysidro High School,WD
7940951-1111100-51,20230203,1,FINAL San Ysidro HIgh School,WD
79332-1111100-0,20230203,1,FINAL,WD
79333-1111100-0,20230203,1,FINAL,WD
793337-1111100-7,20230203,1,FINAL Rural 888,WD
793339-1111100-9,20230203,1,FINAL Rural 891,WD
79777-1111100-0,20230203,1,PRODUCTION,WD
7977715-1111100-15,20230203,1,PRODUCTION SD Mesa College,WD
7977721-1111100-21,20230203,1,PRODUCTION UCSD,WD
79791-1111100-0,20230203,1,Schedule #122,WD
76360-1111111-0,20230204,1,Old Town to Airport Shuttle,ERRdow
72986-0000010-0,20230204,1,Coronado Ferry - Sat,SA
79339-0000010-0,20230204,1,FINAL,SA
79334-0000010-0,20230204,1,FINAL,SA
79408-0000010-0,20230204,1,FINAL,SA
79778-0000010-0,20230204,1,PRODUCTION,SA
79792-0000010-0,20230204,1,Schedule #122,SA
76360-1111111-0,20230205,1,Old Town to Airport Shuttle,ERRdow
72985-0000001-0,20230205,1,Coronado Ferry - Sun,SU
79335-0000001-0,20230205,1,FINAL,SU
79407-0000001-0,20230205,1,FINAL,SU
79779-0000001-0,20230205,1,PRODUCTION,SU
79793-0000001-0,20230205,1,Schedule #122,SU
76360-1111111-0,20230206,1,Old Town to Airport Shuttle,ERRdow
72987-1111100-0,20230206,1,Coronado Ferry - M-F with Events,WD
7298753-1111100-53,20230206,1,Coronado Ferry - M-F with Events Coronado Ferry Commuter,WD
79397-1111100-0,20230206,1,FINAL,WD
79337-1111100-0,20230206,1,FINAL,WD
79398-1111100-0,20230206,1,FINAL,WD
79409-1111100-0,20230206,1,FINAL,WD
7940929-1111100-29,20230206,1,FINAL San Ysidro High School,WD
7940951-1111100-51,20230206,1,FINAL San Ysidro HIgh School,WD
79332-1111100-0,20230206,1,FINAL,WD
79333-1111100-0,20230206,1,FINAL,WD
793337-1111100-7,20230206,1,FINAL Rural 888,WD
79777-1111100-0,20230206,1,PRODUCTION,WD
7977715-1111100-15,20230206,1,PRODUCTION SD Mesa College,WD
7977721-1111100-21,20230206,1,PRODUCTION UCSD,WD
79791-1111100-0,20230206,1,Schedule #122,WD
76360-1111111-0,20230207,1,Old Town to Airport Shuttle,ERRdow
72987-1111100-0,20230207,1,Coronado Ferry - M-F with Events,WD
7298753-1111100-53,20230207,1,Coronado Ferry - M-F with Events Coronado Ferry Commuter,WD
79397-1111100-0,20230207,1,FINAL,WD
79337-1111100-0,20230207,1,FINAL,WD
79398-1111100-0,20230207,1,FINAL,WD
79409-1111100-0,20230207,1,FINAL,WD
7940929-1111100-29,20230207,1,FINAL San Ysidro High School,WD
7940951-1111100-51,20230207,1,FINAL San Ysidro HIgh School,WD
79332-1111100-0,20230207,1,FINAL,WD
79333-1111100-0,20230207,1,FINAL,WD
79777-1111100-0,20230207,1,PRODUCTION,WD
7977715-1111100-15,20230207,1,PRODUCTION SD Mesa College,WD
7977721-1111100-21,20230207,1,PRODUCTION UCSD,WD
79791-1111100-0,20230207,1,Schedule #122,WD
76360-1111111-0,20230208,1,Old Town to Airport Shuttle,ERRdow
72987-1111100-0,20230208,1,Coronado Ferry - M-F with Events,WD
7298753-1111100-53,20230208,1,Coronado Ferry - M-F with Events Coronado Ferry Commuter,WD
