Stop ID,Block Group ID,Route (list all),median income,population
12802,001000-1,11,"73,600",1370
11673,001000-1,11,"73,600",1370
11672,001000-2,11,"79,300",1288
12455,001000-3,11,"63,700",1519
12081,001000-3,11,"63,700",1519
12065,001000-4,11,"45,900",1151
12800,001000-4,"1, 11","45,900",1151
13522,000900-6,"1, 11, 0215","67,700",1101
12454,000900-6,"1, 11, 0215","67,700",1101
11671,000900-6,"1, 11, 0215","67,700",1101
13553,000900-6,"1, 11, 0215","67,700",1101
11670,000900-6,"1, 11","67,700",1101
12453,000900-5,"1, 11","64,100",869
12804,000900-4,"1, 7, 10, 11, 215","21,000",705
13550,000900-4,"1, 7, 10, 11, 215","21,000",705
13551,000900-4,"1, 7, 10, 11, 215","21,000",705
11675,000900-4,"1, 7, 10, 11, 215","21,000",705
11315,001600-4,7,"35,800",905
10550,001600-4,"7, 10","35,800",905
10934,001600-4,"7, 10","35,800",905
10547,001300-2,7,"53,000",2039
11301,001300-2,7,"53,000",2039
10161,001300-2,"2, 6, 7, 10","53,000",2039
11298,001300-2,"2, 6, 7, 10","53,000",2039
10915,001300-5,7,"46,600",1438
10151,001300-5,7,"46,600",1438
10534,001300-5,7,"46,600",1438
10909,001300-5,7,"46,600",1438
10527,001300-5,7,"46,600",1438
10899,001300-5,7,"46,600",1438
10523,000900-2,"7, 10","44,000",898
10892,000900-2,"7, 10","44,000",898
10136,000900-3,"7, 10","47,500",872
10885,000900-3,7,"47,500",872
10130,000900-4,7,"21,000",705
13354,000600-3,"1, 7, 10, 11, 215","64,400",971
13355,000600-3,"1, 7, 10, 11, 215","64,400",971
10494,000600-3,"1, 11","64,400",971
10865,000600-3,"1, 11","64,400",971
10862,000600-3,"1, 11","64,400",971
10114,000600-3,"1, 11","64,400",971
10111,000600-3,"1, 10, 11","64,400",971
11254,000600-3,"1, 10, 11","64,400",971
10106,000600-3,"1, 10, 11, 120","64,400",971
10502,001000-4,"1,11","84,700",1151
11270,001000-4,1,"67,300",1151
10129,001000-4,1,"67,300",1151
10517,001000-4,"1,6,215","67,300",1151
99199,001000-4,215,67300,1151
13554,001000-4,215,67300,1151
10894,001000-4,"1,6",67300,1151
10139,001000-4,"1,6,215","67,300",1151
13430,001200-4,"1, 6","67,300",1490
10533,001200-4,"1, 6","67,300",1490
10150,001200-3,"1, 6","67,300",1728
11290,001200-3,"1, 6",67300,1728
11296,001200-2,"1, 6, 215","67,300",1425
11692,001200-2,"1, 2, 6, 215","67,300",1425
10543,001200-2,"1, 215","67,300",1425
11303,001200-1,1,"67,300",1340
10548,001200-1,1,"67,300",1340
12814,001000-2,6,"79,300",1288
12078,001000-2,6,"79,300",1288
11688,001000-3,6,"63,700",1519
12469,001000-4,6,"45,900",1151
11266,001000-1,11,"73,600",1370
10507,001000-1,11,"73,600",1370
11271,001000-1,11,"73,600",1370
10518,001000-1,11,"73,600",1370
10140,001100-3,11,55300,775
10900,001100-3,11,55300,775
10540,001100-2,11,51700,1415
11291,001100-2,11,51700,1415
11297,001100-2,11,51700,1415
10160,001100-2,11,51700,1415
12089,001100-2,2,51700,1415
10169,001100-2,11,51700,1415
12822,001200-2,2,57100,1425
12086,001200-2,2,57100,1425
11692,001200-2,2,57100,1425
