stop_id,block_id,routes_serviced,med_income,inc:value-avg,normalized_income,population,pop:value-avg,normalized_population,e^z,importance,num_deps
12802,001000-1,11,"73,600","15,912",1.094697004,1370,138.3974359,0.4371959722,0.518144545,0.003072422231,160
11673,001000-1,11,"73,600","15,912",1.094697004,1370,138.3974359,0.4371959722,0.518144545,0.003072422231,161
11672,001000-2,11,"79,300","21,612",1.48685097,1288,56.3974359,0.1781588774,0.2701731869,0.00160203579,161
12455,001000-3,11,"63,700","6,012",0.4135874829,1519,287.3974359,0.9078853274,1.639346759,0.00972077285,160
12065,001000-4,11,"45,900","-11,788",-0.8110336756,1151,-80.6025641,-0.2546226102,1.744400712,0.01034370733,161
12800,001000-4,1;11,"45,900","-11,788",-0.8110336756,1151,-80.6025641,-0.2546226102,1.744400712,0.01034370733,160
12454,000900-6,1; 11; 0216,"67,700","10,012",0.6887832488,1101,-130.6025641,-0.4125720583,0.3324202467,0.001971139841,334
11671,000900-6,1; 11; 0217,"67,700","10,012",0.6887832488,1101,-130.6025641,-0.4125720583,0.3324202467,0.001971139841,337
13553,000900-6,1; 11; 0218,"67,700","10,012",0.6887832488,1101,-130.6025641,-0.4125720583,0.3324202467,0.001971139841,291
11670,000900-6,1;11,"67,700","10,012",0.6887832488,1101,-130.6025641,-0.4125720583,0.3324202467,0.001971139841,337
12453,000900-5,1;11,"64,100","6,412",0.4411070594,869,-362.6025641,-1.145457497,0.2046273914,0.001213371351,334
12804,000900-4,1; 7; 10; 11; 215,"21,000","-36,688",-2.524127319,705,-526.6025641,-1.663531687,2.364568686,0.01402109405,334
13550,000900-4,1; 7; 10; 11; 216,"21,000","-36,688",-2.524127319,705,-526.6025641,-1.663531687,2.364568686,0.01402109405,291
13551,000900-4,1; 7; 10; 11; 217,"21,000","-36,688",-2.524127319,705,-526.6025641,-1.663531687,2.364568686,0.01402109405,291
11675,000900-4,1; 7; 10; 11; 218,"21,000","-36,688",-2.524127319,705,-526.6025641,-1.663531687,2.364568686,0.01402109405,337
11315,001600-4,7,"35,800","-21,888",-1.505902985,905,-326.6025641,-1.031733895,1.606678637,0.009527061919,346
10550,001600-4,7; 10,"35,800","-21,888",-1.505902985,905,-326.6025641,-1.031733895,1.606678637,0.009527061919,563
10934,001600-4,7; 10,"35,800","-21,888",-1.505902985,905,-326.6025641,-1.031733895,1.606678637,0.009527061919,557
10547,001300-2,7,"53,000","-4,688",-0.322561191,2039,807.3974359,2.550559587,17.6921454,0.1049084495,347
11301,001300-2,7,"53,000","-4,688",-0.322561191,2039,807.3974359,2.550559587,17.6921454,0.1049084495,346
10161,001300-2,2; 6; 7; 10,"53,000","-4,688",-0.322561191,2039,807.3974359,2.550559587,17.6921454,0.1049084495,563
11298,001300-2,2; 6; 7; 11,"53,000","-4,688",-0.322561191,2039,807.3974359,2.550559587,17.6921454,0.1049084495,557
10915,001300-5,7,"46,600","-11,088",-0.7628744165,1438,206.3974359,0.6520072216,4.11599926,0.02440648609,346
10151,001300-5,7,"46,600","-11,088",-0.7628744165,1438,206.3974359,0.6520072216,4.11599926,0.02440648609,347
10534,001300-5,7,"46,600","-11,088",-0.7628744165,1438,206.3974359,0.6520072216,4.11599926,0.02440648609,347
10909,001300-5,7,"46,600","-11,088",-0.7628744165,1438,206.3974359,0.6520072216,4.11599926,0.02440648609,346
10527,001300-5,7,"46,600","-11,088",-0.7628744165,1438,206.3974359,0.6520072216,4.11599926,0.02440648609,347
10899,001300-5,7,"46,600","-11,088",-0.7628744165,1438,206.3974359,0.6520072216,4.11599926,0.02440648609,346
